Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,district,area_comfort
43161.0,2.0,732.0,13,18,2009,59.0,30.0,16.0,Старонаводницька,Печерський,13.0
140000.0,2.0,1842.0,13,18,1991,76.0,39.0,14.0,Старонаводницька,Печерський,23.0
345000.0,4.0,2054.0,10,18,2005,168.0,89.0,13.0,Старонаводницька,Печерський,66.0
230000.0,2.0,2771.0,6,7,1915,83.0,45.0,11.0,Заньковецької,Печерський,27.0
178000.0,2.0,2373.0,2,16,2009,75.0,37.0,21.0,Кудрявська,Шевченківський,17.0
234000.0,3.0,2000.0,7,15,2009,117.0,76.0,12.0,Кудрявська,Шевченківський,29.0
52990.0,1.0,1162.0,7,22,2009,69.0,19.0,20.0,Кудрявська,Шевченківський,30.0
330000.0,3.0,2357.0,2,9,2000,140.0,37.0,14.0,Кудрявська,Шевченківський,89.0
45900.0,2.0,478.0,31,34,2009,96.0,62.0,16.0,Милославська,Деснянський,18.0
33000.0,1.0,1000.0,14,24,2009,33.0,16.0,5.0,Милославська,Деснянський,12.0
45500.0,1.0,929.0,2,9,1995,49.0,14.0,24.0,Милославська,Деснянський,11.0
58000.0,2.0,866.0,15,25,2009,67.0,32.0,12.0,Милославська,Деснянський,23.0
47500.0,1.0,1105.0,10,18,2006,43.0,20.0,10.0,Милославська,Деснянський,13.0
35000.0,1.0,946.0,8,9,1992,37.0,19.0,7.0,Милославська,Деснянський,11.0
145000.0,4.0,1381.0,1,9,1977,105.0,80.0,12.0,Героїв Дніпра,Оболонський,13.0
59899.0,2.0,1070.0,8,10,1995,56.0,34.0,8.0,Вишняківська,Дарницький,14.0
65500.0,1.0,1770.0,20,27,2019,37.0,14.0,9.0,Вишняківська,Дарницький,14.0
49500.0,1.0,1269.0,19,26,2009,39.0,17.0,11.0,Причальна,Дарницький,11.0
93000.0,3.0,1336.0,13,14,1994,69.0,48.0,14.0,Повітрофлотський,"Шевченківський, Солом'янський",7.0
53000.0,1.0,1152.0,7,25,2009,46.0,37.0,14.0,Повітрофлотський,"Шевченківський, Солом'янський",0.0
87500.0,2.0,1306.0,20,25,2015,67.0,37.0,14.0,Драгоманова,Дарницький,16.0
220000.0,2.0,2619.0,3,8,1948,84.0,52.0,13.0,Драгоманова,Дарницький,19.0
125000.0,3.0,1147.0,23,26,2011,109.0,83.0,16.0,Драгоманова,Дарницький,10.0
92000.0,2.0,1227.0,2,25,2015,75.0,38.0,15.0,Драгоманова,Дарницький,22.0
67000.0,2.0,1098.0,13,15,1994,61.0,31.0,9.0,Драгоманова,Дарницький,21.0
77000.0,1.0,1426.0,16,24,2015,54.0,22.0,11.0,Драгоманова,Дарницький,21.0
95000.0,2.0,1730.0,10,16,1993,69.0,29.0,14.0,Драгоманова,Дарницький,26.0
90000.0,2.0,1139.0,13,23,2015,79.0,34.0,18.0,Драгоманова,Дарницький,27.0
475000.0,3.0,5000.0,3,13,2017,95.0,66.0,13.0,Драгоманова,Дарницький,16.0
70000.0,1.0,1659.0,1,19,2006,69.0,18.0,10.0,Драгоманова,Дарницький,41.0
120000.0,3.0,1091.0,3,16,2002,110.0,54.0,13.0,Драгоманова,Дарницький,43.0
135482.1,2.0,1782.6,1,25,2015,76.0,37.0,14.0,Драгоманова,Дарницький,25.0
75000.0,1.0,1442.0,4,25,2016,52.0,18.0,14.0,Драгоманова,Дарницький,20.0
90000.0,2.0,1800.0,4,4,1896,50.0,37.0,6.0,Малопідвальна,Шевченківський,7.0
239000.0,3.0,3025.0,3,7,1954,79.0,44.0,13.0,Малопідвальна,Шевченківський,22.0
190000.0,2.0,3167.0,9,21,2017,60.0,37.0,25.0,Предславинська,Печерський,0.0
139990.0,1.0,3182.0,24,24,2017,44.0,20.0,15.0,Предславинська,Печерський,9.0
680000.0,7.0,2369.0,21,21,2010,287.0,177.0,14.0,Лабораторний,Печерський,96.0
330000.0,3.0,3000.0,18,24,2018,110.0,60.0,40.0,Лабораторний,Печерський,10.0
35600.0,1.0,989.0,10,26,2009,36.0,15.0,12.0,Клеманська,Дарницький,9.0
40500.0,1.0,1067.0,4,26,2009,69.0,37.0,14.0,Клеманська,Дарницький,18.0
530000.0,3.0,3926.0,4,15,2017,135.0,50.0,40.0,Саперне Поле,Печерський,45.0
